"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance","Overlap_years","Perc_interval_covered"
"105180_99999","BONN-HARDTHOEHE","GM",50.7,7.033,19750523,20031030,9.4,1,100
"105170_99999","BONN/FRIESDORF(AUT)","GM",50.7,7.15,19360102,19921231,14.39,0,0
"105190_99999","BONN-ROLEBER","GM",50.733,7.2,20010705,20121231,19.45,0,0
"105130_99999","KOLN BONN","GM",50.866,7.143,19310101,20171218,29.42,1,100
"105060_99999","NUERBURG-BARWEILER","GM",50.367,6.867,19950401,20121231,29.47,1,100
"105080_99999","BLANKENHEIM","GM",50.45,6.65,19781002,19840504,30.64,0,0
"105100_99999","NUERBURG","GM",50.333,6.95,19300901,19921231,32.05,0,0
"105020_99999","NORVENICH","GM",50.831,6.658,19730101,20171218,33.17,1,100
"105140_99999","MENDIG","GM",50.366,7.315,19730102,20070614,36.47,1,100
"105090_99999","BUTZWEILERHOF(BAFB)","GM",50.983,6.9,19780901,19950823,40.88,0,0
"105150_99999","BENDORF","GM",50.417,7.583,19310102,20071231,47.74,1,100
"106130_99999","BUCHEL","GM",50.174,7.063,19730101,20171218,49.88,1,100
"105040_99999","EIFEL","GM",50.65,6.283,20040501,20040501,50.13,0,0
"64960_99999","ELSENBORN (MIL)","BE",50.467,6.183,19840501,20171218,59.68,1,100
"105030_99999","AACHEN/MERZBRUCK","GM",50.817,6.183,19780901,20030305,61.06,1,100
"64950_99999","BOTRANGE (MOUNT)","BE",50.5,6.1,19510201,20011015,64.46,1,100
"998700_99999","BAF METEO WING","",50.45,6.107,20011013,20020503,65.4,0,0
"105010_99999","AACHEN","GM",50.783,6.1,19280101,20071231,65.44,1,100
"64940_99999","MONT-RIGI","BE",50.517,6.067,20080115,20171218,66.39,0,0
"105260_99999","BAD MARIENBERG","GM",50.667,7.967,19730101,20071231,69.3,1,100
"105050_99999","AACHEN-ORSBACH","GM",50.783,6.017,20110512,20121231,71.09,0,0
"106170_99999","TRABEN-TRARBACH","GM",49.967,7.117,19850601,19920625,73.2,0,0
"106070_99999","SPANGDAHLEM AB","GM",49.973,6.693,19530518,20171218,75.02,1,100
"104374_99999","MONCHENGLADBACH","GM",51.23,6.504,19960715,20171218,75.98,1,100
"104000_99999","DUSSELDORF","GM",51.289,6.767,19310102,20171218,76.06,1,100
